2018-12-11T07:05:17.848+0000 I NETWORK  [ShardServerCatalogCacheLoader-0] Successfully connected to 172.17.0.9:27018 (1 connections now open to 172.17.0.9:27018 with a 5 second timeout)
2018-12-11T07:05:17.848+0000 W NETWORK  [ShardServerCatalogCacheLoader-0] Unable to reach primary for set rs_shardsvr1
2018-12-11T07:05:18.349+0000 W NETWORK  [ShardServerCatalogCacheLoader-0] Unable to reach primary for set rs_shardsvr1
2018-12-11T07:05:18.849+0000 W NETWORK  [ShardServerCatalogCacheLoader-0] Unable to reach primary for set rs_shardsvr1
2018-12-11T07:05:19.350+0000 W NETWORK  [ShardServerCatalogCacheLoader-0] Unable to reach primary for set rs_shardsvr1
2018-12-11T07:05:19.851+0000 W NETWORK  [ShardServerCatalogCacheLoader-0] Unable to reach primary for set rs_shardsvr1
2018-12-11T07:05:20.279+0000 I NETWORK  [listener] connection accepted from 172.17.0.5:39612 #23 (6 connections now open)
2018-12-11T07:05:20.279+0000 I NETWORK  [conn23] received client metadata from 172.17.0.5:39612 conn23: { driver: { name: "MongoDB Internal Client", version: "4.0.4" }, os: { type: "Linux", name: "Ubuntu", architecture: "x86_64", version: "16.04" } }
2018-12-11T07:05:20.290+0000 I ACCESS   [conn23] Successfully authenticated as principal __system on local
2018-12-11T07:05:20.352+0000 W NETWORK  [ShardServerCatalogCacheLoader-0] Unable to reach primary for set rs_shardsvr1
2018-12-11T07:05:20.852+0000 W NETWORK  [ShardServerCatalogCacheLoader-0] Unable to reach primary for set rs_shardsvr1
2018-12-11T07:05:21.353+0000 W NETWORK  [ShardServerCatalogCacheLoader-0] Unable to reach primary for set rs_shardsvr1
2018-12-11T07:05:21.854+0000 W NETWORK  [ShardServerCatalogCacheLoader-0] Unable to reach primary for set rs_shardsvr1
2018-12-11T07:05:22.111+0000 I NETWORK  [listener] connection accepted from 172.17.0.12:54564 #24 (7 connections now open)
2018-12-11T07:05:22.114+0000 I NETWORK  [conn24] received client metadata from 172.17.0.12:54564 conn24: { driver: { name: "MongoDB Internal Client", version: "4.0.4" }, os: { type: "Linux", name: "Ubuntu", architecture: "x86_64", version: "16.04" } }
2018-12-11T07:05:22.126+0000 I ACCESS   [conn24] Successfully authenticated as principal __system on local
2018-12-11T07:05:22.151+0000 I NETWORK  [listener] connection accepted from 172.17.0.12:54570 #25 (8 connections now open)
2018-12-11T07:05:22.151+0000 I NETWORK  [conn25] received client metadata from 172.17.0.12:54570 conn25: { driver: { name: "NetworkInterfaceTL", version: "4.0.4" }, os: { type: "Linux", name: "Ubuntu", architecture: "x86_64", version: "16.04" } }
2018-12-11T07:05:22.152+0000 I ACCESS   [conn25] Successfully authenticated as principal __system on local
2018-12-11T07:05:22.355+0000 W NETWORK  [ShardServerCatalogCacheLoader-0] Unable to reach primary for set rs_shardsvr1
2018-12-11T07:05:22.855+0000 W NETWORK  [ShardServerCatalogCacheLoader-0] Unable to reach primary for set rs_shardsvr1
2018-12-11T07:05:23.356+0000 W NETWORK  [ShardServerCatalogCacheLoader-0] Unable to reach primary for set rs_shardsvr1
2018-12-11T07:05:23.857+0000 W NETWORK  [ShardServerCatalogCacheLoader-0] Unable to reach primary for set rs_shardsvr1
2018-12-11T07:05:24.358+0000 W NETWORK  [ShardServerCatalogCacheLoader-0] Unable to reach primary for set rs_shardsvr1
2018-12-11T07:05:24.858+0000 W NETWORK  [ShardServerCatalogCacheLoader-0] Unable to reach primary for set rs_shardsvr1
2018-12-11T07:05:25.359+0000 W NETWORK  [ShardServerCatalogCacheLoader-0] Unable to reach primary for set rs_shardsvr1
2018-12-11T07:05:25.426+0000 I NETWORK  [listener] connection accepted from 172.17.0.3:45704 #26 (9 connections now open)
2018-12-11T07:05:25.426+0000 I NETWORK  [conn26] received client metadata from 172.17.0.3:45704 conn26: { driver: { name: "MongoDB Internal Client", version: "4.0.4" }, os: { type: "Linux", name: "Ubuntu", architecture: "x86_64", version: "16.04" } }
2018-12-11T07:05:25.437+0000 I ACCESS   [conn26] Successfully authenticated as principal __system on local
2018-12-11T07:05:25.860+0000 W NETWORK  [ShardServerCatalogCacheLoader-0] Unable to reach primary for set rs_shardsvr1
2018-12-11T07:05:26.361+0000 W NETWORK  [ShardServerCatalogCacheLoader-0] Unable to reach primary for set rs_shardsvr1
2018-12-11T07:05:26.861+0000 W NETWORK  [ShardServerCatalogCacheLoader-0] Unable to reach primary for set rs_shardsvr1
